handle;mark;element_type;shaft;face;width_mm;height_mm;area_m2;x;y;z;thickness_mm;address;physical_key;mark_method;mark_distance_mm
1331;ПП15.1н;Панель облицовки шахты;ГП2;И;4050.0;1300.0;5.265;31673.674;67993.42;29990.0;;"ГП2, сторона И; 7/Е; Z +29.990…+31.290";181dd968af57f21de5e07ff1;inside;0.0
133A;ПП1н;Панель облицовки шахты;ГП1;Б;400.0;4580.0;1.832;25498.676;73693.42;-110.0;;"ГП1, сторона Б; 5/Ж; Z -0.110…+4.470";d6a1833fc5731aa5969cd7cd;external_unique;80.876
133B;ПП2;Панель облицовки шахты;ГП1;Б;150.0;4580.0;0.687;29273.676;73693.42;-110.0;;"ГП1, сторона Б; 5/Ж; Z -0.110…+4.470";a8f435e9ecd820694bd76e86;external_unique;786.029
133C;ПП2;Панель облицовки шахты;ГП1;Г;150.0;4580.0;0.687;29273.682;67993.42;-110.0;;"ГП1, сторона Г; 5/Е; Z -0.110…+4.470";78b7e8031f7df585337b6e67;inside;0.0
133D;ПП1;Панель облицовки шахты;ГП1;Г;400.0;4580.0;1.832;25498.682;67993.42;-110.0;;"ГП1, сторона Г; 5/Е; Z -0.110…+4.470";f22573e3d47933aa7d40a841;external_unique;793.108
133E;ПП3н;Панель облицовки шахты;ГП1;Б;400.0;4160.0;1.664;25498.676;73693.42;15010.0;;"ГП1, сторона Б; 5/Ж; Z +15.010…+19.170";76c042425e429b0998237589;external_unique;16.249
133F;ПП4;Панель облицовки шахты;ГП1;Б;150.0;4160.0;0.624;29273.676;73693.42;15010.0;;"ГП1, сторона Б; 5/Ж; Z +15.010…+19.170";833dbf15e5911ee0704146d2;external_unique;799.767
1340;ПП3;Панель облицовки шахты;ГП1;Г;400.0;4160.0;1.664;25498.682;67993.42;15010.0;;"ГП1, сторона Г; 5/Е; Z +15.010…+19.170";81f741dbbe3bd5b2627fa053;external_unique;782.241
1341;ПП4;Панель облицовки шахты;ГП1;Г;150.0;4160.0;0.624;29273.682;67993.42;15010.0;;"ГП1, сторона Г; 5/Е; Z +15.010…+19.170";a382d4011178a171a3128659;external_unique;8.792
1342;ПП5н;Панель облицовки шахты;ГП1;Б;400.0;4180.0;1.672;25498.676;73693.42;25790.0;;"ГП1, сторона Б; 5/Ж; Z +25.790…+29.970";b65b98b61fb0d4e452398be8;external_unique;43.862
1343;ПП6;Панель облицовки шахты;ГП1;Б;150.0;4180.0;0.627;29273.676;73693.42;25790.0;;"ГП1, сторона Б; 5/Ж; Z +25.790…+29.970";e26d459629724d44aa211fbc;external_unique;830.72
1344;ПП6;Панель облицовки шахты;ГП1;Г;150.0;4180.0;0.627;29273.682;67993.42;25790.0;;"ГП1, сторона Г; 5/Е; Z +25.790…+29.970";8c23db910a8a5d6a924ca61d;external_unique;7.162
1345;ПП5;Панель облицовки шахты;ГП1;Г;400.0;4180.0;1.672;25498.682;67993.42;25790.0;;"ГП1, сторона Г; 5/Е; Z +25.790…+29.970";146ec5f7e6ea95dc4f6afb91;external_unique;793.967
1346;ПП2;Панель облицовки шахты;ГП2;Е;150.0;4580.0;0.687;29723.684;73693.42;-110.0;;"ГП2, сторона Е; 7/Ж; Z -0.110…+4.470";6d0e43d981fe26c246805672;external_unique;5.69
1347;ПП1;Панель облицовки шахты;ГП2;Е;400.0;4580.0;1.832;33498.684;73693.42;-110.0;;"ГП2, сторона Е; 7/Ж; Z -0.110…+4.470";3ca27b6004f8e4b1137a3399;external_unique;826.772
1348;ПП1н;Панель облицовки шахты;ГП2;И;400.0;4580.0;1.832;33498.674;67993.42;-110.0;;"ГП2, сторона И; 7/Е; Z -0.110…+4.470";ee174693e0386d8b6ef8f10e;external_unique;67.726
1349;ПП2;Панель облицовки шахты;ГП2;И;150.0;4580.0;0.687;29723.674;67993.42;-110.0;;"ГП2, сторона И; 7/Е; Z -0.110…+4.470";e2ef83317ea60a6e0c62c520;external_unique;829.375
134A;ПП4;Панель облицовки шахты;ГП2;Е;150.0;4160.0;0.624;29723.684;73693.42;15010.0;;"ГП2, сторона Е; 7/Ж; Z +15.010…+19.170";58f1a009f648df1796db41e0;external_unique;17.021
134B;ПП3;Панель облицовки шахты;ГП2;Е;400.0;4160.0;1.664;33498.684;73693.42;15010.0;;"ГП2, сторона Е; 7/Ж; Z +15.010…+19.170";6eec3882bcfa1843711c6fce;external_unique;860.099
134C;ПП3н;Панель облицовки шахты;ГП2;И;400.0;4160.0;1.664;33498.674;67993.42;15010.0;;"ГП2, сторона И; 7/Е; Z +15.010…+19.170";bb313a3a9385159920f380dc;external_unique;14.903
134D;ПП4;Панель облицовки шахты;ГП2;И;150.0;4160.0;0.624;29723.674;67993.42;15010.0;;"ГП2, сторона И; 7/Е; Z +15.010…+19.170";5a6a21f69c177fcf9976ba0a;external_unique;803.771
134E;ПП6;Панель облицовки шахты;ГП2;Е;150.0;4180.0;0.627;29723.684;73693.42;25790.0;;"ГП2, сторона Е; 7/Ж; Z +25.790…+29.970";5776645b9bfa3e6927111b9b;external_unique;3.538
134F;ПП5;Панель облицовки шахты;ГП2;Е;400.0;4180.0;1.672;33498.684;73693.42;25790.0;;"ГП2, сторона Е; 7/Ж; Z +25.790…+29.970";2f268191926a88f99862f4ee;external_unique;833.403
1350;ПП5н;Панель облицовки шахты;ГП2;И;400.002;4180.0;1.672008;33498.673;67993.42;25790.0;;"ГП2, сторона И; 7/Е; Z +25.790…+29.970";ca3c3bd6b5a6ede000af087b;external_unique;63.72
1351;ПП6;Панель облицовки шахты;ГП2;И;150.0;4180.0;0.627;29723.674;67993.42;25790.0;;"ГП2, сторона И; 7/Е; Z +25.790…+29.970";8f259ddae68e264303790bbc;external_unique;841.671
